# 어절\t어절의 분석결과
# 사이는 '\t'로 구분
# "# "으로 시작하는 라인은 주석처리 됨
것이다.	것/NNB+이/VCP+다/EF+./SF
작성된	작성/NNG+되/XSV+ㄴ/ETM
기울이는	기울이/VV+는/ETM
개최된	개최/NNG+되/XSV+ㄴ/ETM
不正腐敗에	不正腐敗/SH+에/JKB
이루어지도록	이루어지/VV+도록/EC
뒤부터	뒤/NNG+부터/JX
배우지	배우/VV+지/EC
작업에서	작업/NNG+에서/JKB
집권당의	집권당/NNG+의/JKG
정보화시대에	정보/NNG+화/XSN+시대/NNG+에/JKB
일손이	일손/NNG+이/JKS
풍습을	풍습/NNG+을/JKO
한국적	한국/NNP+적/XSN
벼룩은	벼룩/NNG+은/JX
가치의	가치/NNG+의/JKG
흔적도	흔적/NNG+도/JX
배제한	배제/NNG+하/XSV+ㄴ/ETM
사건도	사건/NNG+도/JX
동시에,	동시/NNG+에/JKB+,/SP
96년도	96/SN+년도/NNB
지배층의	지배/NNG+층/XSN+의/JKG
곳까지	곳/NNG+까지/JX
의거하여	의거/NNG+하/XSV+아/EC
제도로	제도/NNG+로/JKB
뾰족한	뾰족/MAG+하/XSA+ㄴ/ETM
거야?	거/NNB+이/VCP+야/EF+?/SF
두려움이	두려움/NNG+이/JKS
개인은	개인/NNG+은/JX
아낌없이	아낌없이/MAG
발표,	발표/NNG+,/SP
공급을	공급/NNG+을/JKO
이룩하기	이룩/XR+하/XSV+기/ETN
전쟁으로	전쟁/NNG+으로/JKB
놈,	놈/NNB+,/SP
점검하는	점검/NNG+하/XSV+는/ETM
여러차례	여러/MM+차례/NNG
영혼이	영혼/NNG+이/JKS
(가)	(/SS+가/NNG+)/SS
벌였던	벌이/VV+었/EP+던/ETM
튼튼한	튼튼/XR+하/XSA+ㄴ/ETM
들어서면	들어서/VV+면/EC
하느님께	하느님/NNG+께/JKB
자랑하고	자랑/NNG+하/XSV+고/EC
양자가	양자/NNG+가/JKS
나누어져	나누/VV+어/EC+지/VX+어/EC
어설픈	어설프/VA+ㄴ/ETM
숭늉을	숭늉/NNG+을/JKO
소유권	소유/NNG+권/XSN
올해로	올해/NNG+로/JKB
꾸고	꾸/VV+고/EC
책임있는	책임/NNG+있/VV+는/ETM
꿈도	꿈/NNG+도/JX
강화되고	강화/NNG+되/XSV+고/EC
얌전히	얌전히/MAG
바랐다.	바라/VV+았/EP+다/EF+./SF
1991년	1991/SN+년/NNB
일까지	일/NNG+까지/JX
당하게	당하/VV+게/EC
금세	금세/MAG
자가용	자가/NNG+용/XSN
기름	기름/NNG
기록	기록/NNG
굶어	굶/VV+어/EC
데에서	데/NNB+에서/JKB
농민들이	농민/NNG+들/XSN+이/JKS
군인	군인/NNG
교체	교체/NNG
경주	경주/NNP
고전	고전/NNG
구라	구라/NNG
임금의	임금/NNG+의/JKG
어울릴	어울리/VV+ㄹ/ETM
고된	고되/VA+ㄴ/ETM
않겠는가	않/VX+겠/EP+는가/EC
얻어낸	얻/VV+어/EC+내/VX+ㄴ/ETM
개헌	개헌/NNG
간부	간부/NNG
박노인은	박/NNP+노인/NNG+은/JX
과제라고	과제/NNG+이/VCP+라고/EC
가스	가스/NNG
커졌다.	커지/VV+었/EP+다/EF+./SF
공기	공기/NNG
반하여	반하/VV+아/EC
공격	공격/NNG
외교의	외교/NNG+의/JKG
같게	같/VA+게/EC
한나라당은	한나라당/NNP+은/JX
가른	가르/VV+ㄴ/ETM
상품에	상품/NNG+에/JKB
요청할	요청/NNG+하/XSV+ㄹ/ETM
박찬호의	박찬호/NNP+의/JKG
온몸을	온몸/NNG+을/JKO
그럴듯한	그렇/VA+ㄹ/ETM+듯/NNB+하/XSA+ㄴ/ETM
오르지	오르/VV+지/EC
정체성을	정체/NNG+성/XSN+을/JKO
도전에	도전/NNG+에/JKB
올리기	올리/VV+기/ETN
보살펴	보살피/VV+어/EC
판단이다.	판단/NNG+이/VCP+다/EF+./SF
이제라도	이제/NNG+이/VCP+라도/EC
인도적	인도/NNG+적/XSN
위하여,	위하/VV+아/EC+,/SP
특질을	특질/NNG+을/JKO
대두되고	대두/NNG+되/XSV+고/EC
장난감	장난감/NNG
부도로	부도/NNG+로/JKB
후보들이	후보/NNG+들/XSN+이/JKS
이래로	이래/NNB+로/JKB
손상을	손상/NNG+을/JKO
백성들의	백성/NNG+들/XSN+의/JKG
개척하는	개척/NNG+하/XSV+는/ETM
당사자들이	당사자/NNG+들/XSN+이/JKS
두뇌의	두뇌/NNG+의/JKG
음복을	음복/NNG+을/JKO
분노는	분노/NNG+는/JX
인력의	인력/NNG+의/JKG
우여곡절	우여곡절/NNG
존엄성을	존엄/NNG+성/XSN+을/JKO
발전시켜	발전/NNG+시키/XSV+어/EC
소신을	소신/NNG+을/JKO
두번째는	두/MM+번/NNB+째/XSN+는/JX
뭐고	뭐/NP+이/VCP+고/EC
쓸쓸한	쓸쓸/XR+하/XSA+ㄴ/ETM
벨트를	벨트/NNG+를/JKO
맺힌	맺히/VV+ㄴ/ETM
선수는	선수/NNG+는/JX
못난	못나/VA+ㄴ/ETM
소득이	소득/NNG+이/JKS
소득은	소득/NNG+은/JX
없는,	없/VA+는/ETM+,/SP
<전성철	</SS+전성철/NNP
밀린	밀리/VV+ㄴ/ETM
발급	발급/NNG
생존의	생존/NNG+의/JKG
보장이	보장/NNG+이/JKS
외롭게	외롭/VA+게/EC
소동이	소동/NNG+이/JKS
무릇	무릇/MAG
베트남	베트남/NNP
쳐다보고	쳐다보/VV+고/EC
조용했다.	조용/XR+하/XSA+았/EP+다/EF+./SF
쇠고기	쇠고기/NNG
다정한	다정/XR+하/XSA+ㄴ/ETM
복음을	복음/NNG+을/JKO
포부를	포부/NNG+를/JKO
1997년말	1997/SN+년/NNB+말/NNB
서울시내	서울/NNP+시내/NNG
부딪쳐	부딪치/VV+어/EC
빚어	빚/VV+어/EC
비용	비용/NNG
왕성한	왕성/XR+하/XSA+ㄴ/ETM
경우에서	경우/NNG+에서/JKB
아직까지는	아직/MAG+까지/JX+는/JX
뿌려	뿌리/VV+어/EC
관해서도	관하/VV+아서/EC+도/JX
어둡고	어둡/VA+고/EC
화려하고	화려/XR+하/XSA+고/EC
촉진하는	촉진/NNG+하/XSV+는/ETM
사회생활의	사회생활/NNG+의/JKG
껴안고	껴안/VV+고/EC
부산에서	부산/NNP+에서/JKB
프랑스에	프랑스/NNP+에/JKB
쪽제비가	쪽제비/NNG+가/JKS
정통부는	정통부/NNG+는/JX
비극적인	비극/NNG+적/XSN+이/VCP+ㄴ/ETM
선의의	선의/NNG+의/JKG
쪽제비는	쪽제비/NNG+는/JX
어디든	어디/NP+이/VCP+든/EC
법률	법률/NNG
밑을	밑/NNG+을/JKO
박씨	박/NNP+씨/NNB
100년	100/SN+년/NNB
분리된	분리/NNG+되/XSV+ㄴ/ETM
비닐	비닐/NNG
만남을	만남/NNG+을/JKO
보호하고	보호/NNG+하/XSV+고/EC
해소하기	해소/NNG+하/XSV+기/ETN
보완	보완/NNG
북방	북방/NNG
붙는	붙/VV+는/ETM
복이	복/NNG+이/JKS
봄을	봄/NNG+을/JKO
비교하여	비교/NNG+하/XSV+아/EC
눈도	눈/NNG+도/JX
네팔	네팔/NNP
2개월	2/SN+개월/NNB
생각해보면	생각/NNG+하/XSV+아/EC+보/VX+면/EC
3가지	3/SN+가지/NNB
3개의	3/SN+개/NNB+의/JKG
데이터베이스	데이터베이스/NNG
가꾸어	가꾸/VV+어/EC
뉴튼	뉴튼/NNP
4개의	4/SN+개/NNB+의/JKG
부담하는	부담/NNG+하/XSV+는/ETM
됐고	되/VV+었/EP+고/EC
문민정부의	문민정부/NNG+의/JKG
쭈그리고	쭈그리/VV+고/EC
표현이다.	표현/NNG+이/VCP+다/EF+./SF
답은	답/NNG+은/JX
닦은	닦/VV+은/ETM
알았던	알/VV+았/EP+던/ETM
무척이나	무척/MAG+이나/JX
왕위에	왕위/NNG+에/JKB
사진사	사진사/NNG
떳떳하게	떳떳/XR+하/XSA+게/EC
동대문	동대문/NNP
일각에서	일각/NNG+에서/JKB
양복을	양복/NNG+을/JKO
꾸민	꾸미/VV+ㄴ/ETM
손길을	손길/NNG+을/JKO
신청인이	신청인/NNG+이/JKS
선명한	선명/XR+하/XSA+ㄴ/ETM
변혁이	변혁/NNG+이/JKS
끌려	끌리/VV+어/EC
끼친	끼치/VV+ㄴ/ETM
여파로	여파/NNG+로/JKB
부분도	부분/NNG+도/JX
유지하였으나	유지/NNG+하/XSV+았/EP+으나/EC
나눈다.	나누/VV+ㄴ다/EF+./SF
당했다.	당하/VV+았/EP+다/EF+./SF
난생	난생/MAG
내민	내밀/VV+ㄴ/ETM
녹색	녹색/NNG
눈길	눈길/NNG
서명을	서명/NNG+을/JKO
놀던	놀/VV+던/ETM
그렇고,	그렇/VA+고/EC+,/SP
선비는	선비/NNG+는/JX
과시하는	과시/NNG+하/XSV+는/ETM
어처구니	어처구니/NNG
사회에서의	사회/NNG+에서/JKB+의/JKG
띄게	띄/VV+게/EC
…(東亞日報,	…/SE+(/SS+東亞日報/SH+,/SP
뜨는	뜨/VV+는/ETM
왕조의	왕조/NNG+의/JKG
됐던	되/VV+었/EP+던/ETM
신탁재산의	신탁/NNG+재산/NNG+의/JKG
동족	동족/NNG
불가능하다고	불/XPN+가능/XR+하/XSA+다고/EC
경우처럼	경우/NNG+처럼/JKB
개정안을	개정안/NNG+을/JKO
둑을	둑/NNG+을/JKO
동포	동포/NNG
대폭적인	대폭/NNG+적/XSN+이/VCP+ㄴ/ETM
상태.	상태/NNG+./SF
딸린	딸리/VV+ㄴ/ETM
가격에	가격/NNG+에/JKB
여러번	여러/MM+번/NNB
프로젝트는	프로젝트/NNG+는/JX
활용한	활용/NNG+하/XSV+ㄴ/ETM
매듭을	매듭/NNG+을/JKO
넘어가지	넘어가/VV+지/EC
5월중	5/SN+월/NNB+중/NNB
주체적인	주체/NNG+적/XSN+이/VCP+ㄴ/ETM
6월중	6/SN+월/NNB+중/NNB
화제를	화제/NNG+를/JKO
시간이었다.	시간/NNG+이/VCP+었/EP+다/EF+./SF
치마	치마/NNG
촌락	촌락/NNG
{불의	{/SS+불/NNG+의/JKG
둔화되고	둔화/NNG+되/XSV+고/EC
초당	초/NNB+당/XSN
말리는	말리/VV+는/ETM
오래도록	오래도록/MAG
2월중	2/SN+월/NNB+중/NNB
총재	총재/NNG
3일간	3/SN+일/NNB+간/NNB
1월중	1/SN+월/NNB+중/NNB
계속적인	계속/NNG+적/XSN+이/VCP+ㄴ/ETM
쪼그리고	쪼그리/VV+고/EC
이후부터	이후/NNG+부터/JX
컸던	크/VA+었/EP+던/ETM
치안	치안/NNG
盧대통령의	盧/SH+대통령/NNG+의/JKG
황제의	황제/NNG+의/JKG
지난해에	지난해/NNG+에/JKB
되어있다.	되/VV+어/EC+있/VX+다/EF+./SF
구경하는	구경/NNG+하/XSV+는/ETM
회복할	회복/NNG+하/XSV+ㄹ/ETM
도입하여	도입/NNG+하/XSV+아/EC
지장을	지장/NNG+을/JKO
확인되는	확인/NNG+되/XSV+는/ETM
지배	지배/NNG
통일은	통일/NNG+은/JX
지적인	지/NNG+적/XSN+이/VCP+ㄴ/ETM
지출	지출/NNG
도입하고	도입/NNG+하/XSV+고/EC
마운드를	마운드/NNG+를/JKO
제자	제자/NNG
절차	절차/NNG
사대부의	사대부/NNG+의/JKG
3시간	3/SN+시간/NNG
조치	조치/NNG
주부	주부/NNG
죽일	죽이/VV+ㄹ/ETM
주저	주저/NNG
줄어	줄/VV+어/EC
강화해야	강화/NNG+하/XSV+아야/EC
다목적	다목적/NNG
비율로	비율/NNG+로/JKB
챙긴	챙기/VV+ㄴ/ETM
비위를	비위/NNG+를/JKO
금품을	금품/NNG+을/JKO
철강	철강/NNG
참석	참석/NNG
통제할	통제/NNG+하/XSV+ㄹ/ETM
신도시	신/XPN+도시/NNG
만들고,	만들/VV+고/EC+,/SP
없앨	없애/VV+ㄹ/ETM
역의	역/NNG+의/JKG
여유	여유/NNG
조동팔은	조동팔/NNP+은/JX
대립을	대립/NNG+을/JKO
옷도	옷/NNG+도/JX
협의회	협의회/NNG
열띤	열띠/VA+ㄴ/ETM
없나	없/VA+나/EC
클린턴의	클린턴/NNP+의/JKG
클린턴은	클린턴/NNP+은/JX
업계	업계/NNG
형성되었다.	형성/NNG+되/XSV+었/EP+다/EF+./SF
앉는	앉/VV+는/ETM
인식되고	인식/NNG+되/XSV+고/EC
나무들은	나무/NNG+들/XSN+은/JX
주저하지	주저/NNG+하/XSV+지/EC
예외없이	예외/NNG+없이/MAG
원운동을	원운동/NNG+을/JKO
보고서가	보고서/NNG+가/JKS
정씨	정/NNP+씨/NNB
익힌	익히/VV+ㄴ/ETM
투자한	투자/NNG+하/XSV+ㄴ/ETM
전송	전송/NNG
딸에게	딸/NNG+에게/JKB
응할	응하/VV+ㄹ/ETM
자지	자/VV+지/EC
잇지	잇/VV+지/EC
공간에서	공간/NNG+에서/JKB
임신	임신/NNG
전달	전달/NNG
먹으라고	먹/VV+으라고/EC
제고	제고/NNG
정규	정규/NNG
응용	응용/NNG
극진히	극진히/MAG
장면	장면/NNG
정국	정국/NNG
공공부문의	공공/NNG+부문/NNG+의/JKG
잔디	잔디/NNG
원칙	원칙/NNG
입당	입당/NNG
대목을	대목/NNG+을/JKO
울지	울/VV+지/EC
임기	임기/NNG
자국	자국/NNG
울음	울음/NNG
심화되고	심화/NNG+되/XSV+고/EC
영하	영하/NNG
여태	여태/MAG
연초	연초/NNG
월급	월급/NNG
예전	예전/NNG
소외	소외/NNG
춘향의	춘향/NNP+의/JKG
이루어지게	이루어지/VV+게/EC
삼지	삼/VV+지/EC
5명의	5/SN+명/NNB+의/JKG
선에	선/NNG+에/JKB
성종	성종/NNP
톡톡히	톡톡히/MAG
서지	서/VV+지/EC
사물	사물/NNG
성경	성경/NNG
서독	서독/NNP
기온이	기온/NNG+이/JKS
삼성	삼성/NNP
서른	서른/NR
손과	손/NNG+과/JC
상은	상/NNG+은/JX
귀하게	귀하/VA+게/EC
삼국	삼국/NNG
동안에도	동안/NNG+에/JKB+도/JX
취직을	취직/NNG+을/JKO
금창리	금창리/NNP
쌓은	쌓/VV+은/ETM
뒤늦게나마	뒤늦/VA+게/EC+나마/JX
시킬	시키/VV+ㄹ/ETM
학생들도	학생/NNG+들/XSN+도/JX
것이야말로	것/NNB+이야말로/JX
떠도는	떠돌/VV+는/ETM
수원	수원/NNP
경험하는	경험/NNG+하/XSV+는/ETM
취지를	취지/NNG+를/JKO
경험하게	경험/NNG+하/XSV+게/EC
해석하는	해석/NNG+하/XSV+는/ETM
현저한	현저/XR+하/XSA+ㄴ/ETM
2백여	2/SN+백/NR+여/XSN
숲은	숲/NNG+은/JX
서민들의	서민/NNG+들/XSN+의/JKG
침략을	침략/NNG+을/JKO
깨닫지	깨닫/VV+지/EC
농촌은	농촌/NNG+은/JX
국토의	국토/NNG+의/JKG
정직하게	정직/NNG+하/XSA+게/EC
구애받지	구애/NNG+받/VV+지/EC
부패의	부패/NNG+의/JKG
부르고,	부르/VV+고/EC+,/SP
올라간다.	올라가/VV+ㄴ다/EF+./SF
기발한	기발/XR+하/XSA+ㄴ/ETM
힘들여	힘들이/VV+어/EC
기술,	기술/NNG+,/SP
느낌도	느낌/NNG+도/JX
습관을	습관/NNG+을/JKO
기묘한	기묘/XR+하/XSA+ㄴ/ETM
일본에는	일본/NNP+에/JKB+는/JX
외국인이	외국인/NNG+이/JKS
논리적인	논리/NNG+적/XSN+이/VCP+ㄴ/ETM
지리산	지리산/NNP
비리의	비리/NNG+의/JKG
지리적	지리/NNG+적/XSN
쏟아지는	쏟아지/VV+는/ETM
트렁크	트렁크/NNG
후자의	후자/NNG+의/JKG
환하게	환하/VA+게/EC
기분에	기분/NNG+에/JKB
유도하기	유도/NNG+하/XSV+기/ETN
흔들렸다.	흔들리/VV+었/EP+다/EF+./SF
칼럼)	칼럼/NNG+)/SS
제1회	제/XPN+1/SN+회/NNB
권하고	권하/VV+고/EC
틀리게	틀리/VV+게/EC
바꾸었다.	바꾸/VV+었/EP+다/EF+./SF
맡아서	맡/VV+아서/EC
이용해서	이용/NNG+하/XSV+아서/EC
살아가야	살아가/VV+아야/EC
글에서	글/NNG+에서/JKB
社會的	社會的/SH
불가피하다.	불가피/XR+하/XSA+다/EF+./SF
순미는	순미/NNP+는/JX
탁선생이	탁/NNP+선생/NNG+이/JKS
향상	향상/NNG
해설	해설/NNG
필수	필수/NNG
해볼	해보/VV+ㄹ/ETM
모래판	모래판/NNG
풀지	풀/VV+지/EC
초반부터	초반/NNG+부터/JX
단계는	단계/NNG+는/JX
추진을	추진/NNG+을/JKO
형사	형사/NNG
형성	형성/NNG
다가올	다가오/VV+ㄹ/ETM
진실에	진실/NNG+에/JKB
하층	하층/NNG
행여	행여/MAG
개념이다.	개념/NNG+이/VCP+다/EF+./SF
진술을	진술/NNG+을/JKO
흔드는	흔들/VV+는/ETM
흠뻑	흠뻑/MAG
후에야	후/NNG+에/JKB+야/JX
위원장으로	위원장/NNG+으로/JKB
힐끗	힐끗/MAG
환한	환하/VA+ㄴ/ETM
북쪽의	북쪽/NNG+의/JKG
금리가	금리/NNG+가/JKS
흐른	흐르/VV+ㄴ/ETM
축으로	축/NNG+으로/JKB
후속	후속/NNG
사무실로	사무실/NNG+로/JKB
증가함에	증가/NNG+하/XSV+ㅁ/ETN+에/JKB
주체성을	주체/NNG+성/XSN+을/JKO
기자회견에서	기자/NNG+회견/NNG+에서/JKB
싶기도	싶/VX+기/ETN+도/JX
힘찬	힘차/VA+ㄴ/ETM
소희를	소희/NNP+를/JKO
토끼	토끼/NNG
모델을	모델/NNG+을/JKO
신기한	신기/XR+하/XSA+ㄴ/ETM
형편을	형편/NNG+을/JKO
튀는	튀/VV+는/ETM
성장률을	성장/NNG+률/XSN+을/JKO
터키	터키/NNP
택해	택하/VV+아/EC
추억을	추억/NNG+을/JKO
7월에는	7/SN+월/NNB+에/JKB+는/JX
펴는	펴/VV+는/ETM
시각에	시각/NNG+에/JKB
[작은	[/SS+작/VA+은/ETM
호텔을	호텔/NNG+을/JKO
실감케	실감/NNG+하/XSV+게/EC
계산이다.	계산/NNG+이/VCP+다/EF+./SF
다닌다.	다니/VV+ㄴ다/EF+./SF
시작되어	시작/NNG+되/XSV+어/EC
PC통신	PC/SL+통신/NNG
한자로	한자/NNG+로/JKB
계획의	계획/NNG+의/JKG
기간은	기간/NNG+은/JX
양상으로	양상/NNG+으로/JKB
96.02.28	96/SN+./SF+02/SN+./SF+28/SN
96.02.09	96/SN+./SF+02/SN+./SF+09/SN
96.02.02	96/SN+./SF+02/SN+./SF+02/SN
상황에서도	상황/NNG+에서/JKB+도/JX
무고한	무고/NNG+하/XSA+ㄴ/ETM
가족에게	가족/NNG+에게/JKB
필자의	필자/NNG+의/JKG
부딪치는	부딪치/VV+는/ETM
묻기도	묻/VV+기/ETN+도/JX
뉴햄프셔주	뉴햄프셔주/NNP
신속하고	신속/NNG+하/XSA+고/EC
주민을	주민/NNG+을/JKO
주변을	주변/NNG+을/JKO
실현될	실현/NNG+되/XSV+ㄹ/ETM
공항에	공항/NNG+에/JKB
주식시장	주식/NNG+시장/NNG
아프리카문학의	아프리카/NNP+문학/NNG+의/JKG
최씨는	최/NNP+씨/NNB+는/JX
기계를	기계/NNG+를/JKO
살펴보았다.	살펴보/VV+았/EP+다/EF+./SF
지금,	지금/MAG+,/SP
할머니를	할머니/NNG+를/JKO
짓는다.	짓/VV+는다/EF+./SF
우리들을	우리/NP+들/XSN+을/JKO
털어놓았다.	털어놓/VV+았/EP+다/EF+./SF
자리하고	자리/NNG+하/XSV+고/EC
그들도	그/NP+들/XSN+도/JX
보내고,	보내/VV+고/EC+,/SP
초점은	초점/NNG+은/JX
일입니다.	일/NNG+이/VCP+ㅂ니다/EF+./SF
생각보다	생각/NNG+보다/JKB
지내야	지내/VV+어야/EC
지나자	지나/VV+자/EC
긴급조치	긴급/NNG+조치/NNG
세상에는	세상/NNG+에/JKB+는/JX
높여야	높이/VV+어야/EC
고찰을	고찰/NNG+을/JKO
싫었다.	싫/VA+었/EP+다/EF+./SF
모이면	모이/VV+면/EC
3차전에서	3/SN+차전/NNB+에서/JKB
지능을	지능/NNG+을/JKO
목요일	목요일/NNG
11월중	11/SN+월/NNB+중/NNB
며칠이	며칠/NNG+이/JKS
주인에게	주인/NNG+에게/JKB
초기에는	초기/NNG+에/JKB+는/JX
광주에	광주/NNP+에/JKB
모아야	모으/VV+아야/EC
다가오고	다가오/VV+고/EC
다루었다.	다루/VV+었/EP+다/EF+./SF
[달러]의	[/SS+달러/NNB+]/SS+의/JKG
교수를	교수/NNG+를/JKO
생물학적	생물학/NNG+적/XSN
저해하는	저해/NNG+하/XSV+는/ETM
모았던	모으/VV+았/EP+던/ETM
결함이	결함/NNG+이/JKS
주요국	주요국/NNG
승용차가	승용차/NNG+가/JKS
가깝다.	가깝/VA+다/EF+./SF
결혼식	결혼식/NNG
모양은	모양/NNG+은/JX
방침이라고	방침/NNG+이/VCP+라고/EC
높였다.	높이/VV+었/EP+다/EF+./SF
눈물로	눈물/NNG+로/JKB
기다리던	기다리/VV+던/ETM
되풀이되는	되풀이/NNG+되/XSV+는/ETM
긴급자금	긴급/NNG+자금/NNG
교사로	교사/NNG+로/JKB
피부로	피부/NNG+로/JKB
제기된다.	제기/NNG+되/XSV+ㄴ다/EF+./SF
민주화의	민주/NNG+화/XSN+의/JKG
반발하고	반발/NNG+하/XSV+고/EC
해결되지	해결/NNG+되/XSV+지/EC
기다리지	기다리/VV+지/EC
지나는	지나/VV+는/ETM
투기를	투기/NNG+를/JKO
체중이	체중/NNG+이/JKS
경전을	경전/NNG+을/JKO
싶어도	싶/VX+어도/EC
참이었다.	참/NNB+이/VCP+었/EP+다/EF+./SF
모여들었다.	모여들/VV+었/EP+다/EF+./SF
내려놓고	내려놓/VV+고/EC
명함을	명함/NNG+을/JKO
정체가	정체/NNG+가/JKS
경우엔	경우/NNG+에/JKB+ㄴ/JX
구체적이고	구체/NNG+적/XSN+이/VCP+고/EC
조선인	조선인/NNG
합하여	합하/VV+아/EC
결정될	결정/NNG+되/XSV+ㄹ/ETM
헤어질	헤어지/VV+ㄹ/ETM
계약금	계약금/NNG
회복하는	회복/NNG+하/XSV+는/ETM
현수가	현수/NNP+가/JKS
워싱턴의	워싱턴/NNP+의/JKG
인민학교	인민학교/NNG
무불식	무불식/NNG
보였으며	보이/VV+었/EP+으며/EC
당사자인	당사자/NNG+이/VCP+ㄴ/ETM
타협을	타협/NNG+을/JKO
보여줘야	보이/VV+어/EC+주/VX+어야/EC
경찰관	경찰관/NNG
상관관계가	상관관계/NNG+가/JKS
신애의	신애/NNP+의/JKG
실업계	실업/NNG+계/XSN
시위를	시위/NNG+를/JKO
초기부터	초기/NNG+부터/JX
분리되어	분리/NNG+되/XSV+어/EC
중국과의	중국/NNP+과/JKB+의/JKG
신용을	신용/NNG+을/JKO
시인의	시인/NNG+의/JKG
노동력	노동력/NNG
초부터	초/NNB+부터/JX
정지해	정지/NNG+하/XSV+아/EC
고문을	고문/NNG+을/JKO
제품은	제품/NNG+은/JX
최강의	최강/NNG+의/JKG
좌우에	좌우/NNG+에/JKB
놀라서	놀라/VV+아서/EC
그것과는	그것/NP+과/JKB+는/JX
자리잡게	자리/NNG+잡/VV+게/EC
혹독한	혹독/XR+하/XSA+ㄴ/ETM
협력의	협력/NNG+의/JKG
골라서	고르/VV+아서/EC
학문적인	학문/NNG+적/XSN+이/VCP+ㄴ/ETM
5차전에서	5/SN+차전/NNB+에서/JKB
사람이라면	사람/NNG+이/VCP+라면/EC
얻어내는	얻/VV+어/EC+내/VX+는/ETM
이론으로	이론/NNG+으로/JKB
한유지의	한유지/NNP+의/JKG
10년이	10/SN+년/NNB+이/JKS
계속해	계속/NNG+하/XSV+아/EC
회원들은	회원/NNG+들/XSN+은/JX
지도원을	지도원/NNG+을/JKO
다루어야	다루/VV+어야/EC
私債	私債/SH
96.01.25	96/SN+./SF+01/SN+./SF+25/SN
96.01.21	96/SN+./SF+01/SN+./SF+21/SN
96.01.14	96/SN+./SF+01/SN+./SF+14/SN
생각없이	생각/NNG+없이/MAG
사람이라도	사람/NNG+이/VCP+라도/EC
남학생	남학생/NNG
주위에서	주위/NNG+에서/JKB
1월부터	1/SN+월/NNB+부터/JX
향상에	향상/NNG+에/JKB
뜻대로	뜻대로/MAG
"	"/SS
&	&/SW
.	./SF
효과적이다.	효과/NNG+적/XSN+이/VCP+다/EF+./SF
일차적	일차/NNG+적/XSN
정상적으로	정상/NNG+적/XSN+으로/JKB
4,	4/SN+,/SP
바꾸지	바꾸/VV+지/EC
조직으로	조직/NNG+으로/JKB
6,	6/SN+,/SP
5)	5/SN+)/SS
PC	PC/SL
일제시대	일제/NNG+시대/NNG
de	de/SL
크기로	크기/NNG+로/JKB
처리에	처리/NNG+에/JKB
뒷전으로	뒷전/NNG+으로/JKB
조직적인	조직/NNG+적/XSN+이/VCP+ㄴ/ETM
생각하였다.	생각/NNG+하/XSV+았/EP+다/EF+./SF
배경에	배경/NNG+에/JKB
쓰라린	쓰라리/VA+ㄴ/ETM
두터운	두텁/VA+ㄴ/ETM
자제를	자제/NNG+를/JKO
가라고	가/VV+라고/EC
이례적으로	이례/NNG+적/XSN+으로/JKB
잡아서	잡/VV+아서/EC
자유에	자유/NNG+에/JKB
처리된	처리/NNG+되/XSV+ㄴ/ETM
지경이었다.	지경/NNB+이/VCP+었/EP+다/EF+./SF
날이면	날/NNG+이/VCP+면/EC
조직에서	조직/NNG+에서/JKB
민주주의를	민주주의/NNG+를/JKO
장엄한	장엄/NNG+하/XSA+ㄴ/ETM
불가능하게	불/XPN+가능/XR+하/XSA+게/EC
낳아야	낳/VV+아야/EC
위협하고	위협/NNG+하/XSV+고/EC
조계종	조계종/NNG
옹호하는	옹호/NNG+하/XSV+는/ETM
약속하고	약속/NNG+하/XSV+고/EC
사용하면	사용/NNG+하/XSV+면/EC
발달된	발달/NNG+되/XSV+ㄴ/ETM
않는데	않/VX+는데/EC
아니게	아니/VCN+게/EC
체면을	체면/NNG+을/JKO
안전하게	안전/NNG+하/XSA+게/EC
스트레스	스트레스/NNG
아니나	아니/VCN+나/EC
머물면서	머물/VV+면서/EC
K는	K/SL+는/JX
1대	1/SN+대/NNB
맛	맛/NNG
널	너/NP+ㄹ/JKO
"넌	"/SS+너/NP+ㄴ/JX
'내	'/SS+나/NP+의/JKG
뗄	떼/VV+ㄹ/ETM
차지해	차지/NNG+하/XSV+아/EC
5조	5/SN+조/NR
3시	3/SN+시/NNB
평화적	평화/NNG+적/XSN
1에	1/SN+에/JKB
어민들의	어민/NNG+들/XSN+의/JKG
셋	셋/NR
9백	9/SN+백/NR
2박	2/SN+박/NNB
1호	1/SN+호/NNB
생각하면서	생각/NNG+하/XSV+면서/EC
종금사	종금사/NNG
재정의	재정/NNG+의/JKG
3층	3/SN+층/NNG
홈	홈/NNG
흙	흙/NNG
[왜	[/SS+왜/MAG
평	평/NNB
천명한	천명/NNG+하/XSV+ㄴ/ETM
아끼는	아끼/VV+는/ETM
사용하게	사용/NNG+하/XSV+게/EC
천문학	천문학/NNG
관장하는	관장/NNG+하/XSV+는/ETM
일차적으로	일차/NNG+적/XSN+으로/JKB
인플레	인플레/NNG
바라지	바라/VV+지/EC
사랑할	사랑/NNG+하/XSV+ㄹ/ETM
가서도	가/VV+아서/EC+도/JX
들어설	들어서/VV+ㄹ/ETM
넘기고	넘기/VV+고/EC
제작,	제작/NNG+,/SP
이행을	이행/NNG+을/JKO
때리고	때리/VV+고/EC
사라질	사라지/VV+ㄹ/ETM
<권오주	</SS+권오주/NNP
